Y Coordinates:
0,0.15,0.3,0.45,0.6,0.75,0.9,1.05,1.2,1.35,1.5,1.65,1.8,1.95,2.1,2.25,2.4,2.55,2.7,2.85,3,3.15,3.3,3.45,3.6,3.75,3.9,4.05,4.2,4.35,4.5,4.65,4.8,4.95,5.1,5.25,5.4,5.55,5.7,5.85,6,

 Time(s),  P(Pa) on vertices
0,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,435167,0,
1175,6840.31,6823.01,6771.37,6685.65,6566.29,6413.86,6229.36,6014.71,5766.36,5490.06,5186.92,4858.66,4505.07,4128.58,3731.42,3315.48,2882.91,2436.41,1976.33,1506.82,1029.83,981.564,932.834,883.625,833.972,783.903,733.473,682.623,631.428,579.935,528.165,476.1,423.804,371.296,318.598,265.741,212.753,159.661,106.485,53.2576,0,
1200,6219.07,6203.34,6156.4,6078.46,5969.94,5831.35,5663.61,5468.46,5242.66,4991.45,4715.85,4417.4,4095.92,3753.63,3392.54,3014.37,2621.08,2215.13,1796.84,1369.97,936.298,892.419,848.114,803.375,758.231,712.709,666.859,620.627,574.082,527.266,480.197,432.861,385.315,337.575,289.663,241.607,193.431,145.161,96.8143,48.4208,0,
1225,5654.26,5639.96,5597.27,5526.41,5427.75,5301.75,5149.24,4971.81,4766.52,4538.13,4287.55,4016.21,3723.93,3412.72,3084.43,2740.6,2383.04,2013.96,1633.65,1245.55,851.263,811.37,771.088,730.412,689.368,647.981,606.295,564.262,521.944,479.38,436.586,393.548,350.32,306.916,263.355,219.664,175.863,131.977,88.0216,44.0232,0,
1250,5140.74,5127.74,5088.93,5024.51,4934.8,4820.25,4681.59,4520.27,4333.63,4125.98,3898.16,3651.46,3385.72,3102.78,2804.3,2491.7,2166.61,1831.05,1485.29,1132.43,773.952,737.681,701.058,664.077,626.76,589.131,551.231,513.016,474.541,435.842,396.935,357.806,318.504,279.042,239.438,199.714,159.891,119.991,80.0275,40.025,0,
1275,4673.86,4662.04,4626.75,4568.18,4486.63,4382.47,4256.41,4109.74,3940.05,3751.26,3544.13,3319.83,3078.23,2820.99,2549.61,2265.41,1969.84,1664.75,1350.39,1029.58,703.662,670.685,637.388,603.765,569.838,535.626,501.169,466.424,431.443,396.259,360.886,325.31,289.578,253.7,217.692,181.576,145.37,109.093,72.7594,36.39,0,
1300,4249.38,4238.63,4206.55,4153.3,4079.15,3984.46,3869.84,3736.5,3582.21,3410.57,3222.25,3018.33,2798.67,2564.79,2318.06,2059.66,1790.94,1513.56,1227.75,936.075,639.755,609.774,579.501,548.931,518.085,486.981,455.653,424.063,392.26,360.271,328.11,295.766,263.278,230.659,197.921,165.085,132.168,99.1856,66.1514,33.085,0,
1325,3863.45,3853.68,3824.51,3776.1,3708.68,3622.59,3518.38,3397.15,3256.88,3100.82,2929.61,2744.2,2544.49,2331.85,2107.53,1872.6,1628.28,1376.1,1116.25,851.061,581.653,554.394,526.871,499.078,471.033,442.753,414.27,385.55,356.635,327.551,298.311,268.904,239.368,209.71,179.946,150.092,120.164,90.1776,60.1436,30.0803,0,
1350,3512.57,3503.69,3477.17,3433.15,3371.86,3293.59,3198.84,3088.62,2961.09,2819.2,2663.54,2494.98,2313.4,2120.07,1916.13,1702.53,1480.4,1251.12,1014.87,773.767,528.827,504.044,479.02,453.751,428.254,402.543,376.646,350.534,324.245,297.803,271.219,244.483,217.628,190.665,163.603,136.461,109.251,81.9876,54.6814,27.3484,0,
1375,3193.56,3185.48,3161.38,3121.36,3065.63,2994.46,2908.33,2808.11,2692.16,2563.16,2421.64,2268.38,2103.3,1927.53,1742.1,1547.91,1345.95,1137.5,922.699,703.494,480.799,458.267,435.516,412.542,389.36,365.984,342.439,318.699,294.797,270.757,246.587,222.279,197.863,173.348,148.745,124.068,99.3287,74.5415,49.7152,24.8646,0,
1400,2903.52,2896.18,2874.26,2837.87,2787.21,2722.51,2644.19,2553.08,2447.66,2330.38,2201.71,2062.37,1912.28,1752.47,1583.89,1407.33,1223.71,1034.19,838.9,639.603,437.133,416.647,395.962,375.075,353.998,332.745,311.339,289.755,268.024,246.167,224.192,202.091,179.893,157.605,135.236,112.8,90.3077,67.7717,45.2001,22.6064,0,
